Month,ENG_RP,ENG_RB,ENG_NN,ENG_VB,ENG_FW,ENG_JJ,ENG_JJR,ENG_JJS,ENG_NNP,ENG_NNS,ENG_POS,ENG_RBR,ENG_RBS,ENG_VBD,ENG_VBG,ENG_VBN,ENG_VBP,ENG_VBZ
2-5-2013,0,1,13,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0
11-4-2016,0,0,25,0,4,4,0,0,3,10,0,0,0,0,0,0,1,1
24-1-2015,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14-7-2016,0,4,69,3,3,11,0,0,31,2,0,0,0,0,1,0,1,2
19-1-2015,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
31-1-2016,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-4-2016,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0
15-2-2016,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
2-9-2016,1,2,107,0,15,16,0,0,32,10,0,0,0,1,0,0,8,4
10-6-2011,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26-10-2014,0,3,182,1,21,27,0,0,50,16,0,0,0,4,0,0,9,6
2-5-2016,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
3-11-2011,0,1,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
20-11-2016,0,1,1,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
14-3-2016,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
19-11-2015,0,1,4,2,0,1,0,0,3,1,0,0,0,0,1,0,1,0
5-2-2015,0,1,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
17-5-2016,0,0,12,0,0,4,0,0,19,2,0,0,0,0,0,0,1,0
27-7-2014,0,5,177,2,25,22,0,0,63,14,0,0,0,3,0,1,10,13
5-5-2014,0,0,21,0,0,1,0,0,0,4,0,0,0,0,1,1,1,0
15-12-2011,0,1,20,0,0,2,0,0,2,2,0,0,0,0,0,0,2,0
2-2-2015,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-11-2015,0,0,8,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
28-10-2016,0,2,21,0,0,3,0,0,9,0,0,0,0,2,0,0,2,1
21-8-2016,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21-3-2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-2-2016,0,0,7,0,0,3,0,0,4,1,0,0,0,0,0,0,0,0
22-7-2015,0,0,28,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1-10-2016,0,3,34,1,3,2,0,0,6,6,0,0,0,2,0,0,0,0
27-8-2015,0,0,57,2,4,15,0,0,12,4,0,0,0,0,0,0,5,5
9-3-2014,0,0,13,0,7,2,0,0,0,2,0,0,0,0,0,0,3,0
4-2-2015,0,1,13,0,0,2,0,0,1,2,0,0,0,0,0,0,2,0
